,date,close_price,day_1_pred,day_2_pred,day_3_pred,day_4_pred,day_5_pred,day_6_pred,day_7_pred,day_8_pred,day_9_pred,day_10_pred,day_11_pred,day_12_pred,day_13_pred
0,1/1/2018,201.0700073,187.0518061,189.4191223,188.3064192,188.0447862,185.5725277,187.7315662,187.0113677,189.3754379,186.3099276,184.6319234,194.1955305,189.3289896,199.6811446
1,1/2/2018,205.0500031,189.5670655,188.7266094,188.5248386,185.651995,188.0894091,187.3794279,189.731099,186.6016893,185.0260725,194.196184,189.8341391,199.955869,202.1765697
2,1/3/2018,205.6300049,187.5763516,187.4551667,185.353702,186.9196358,186.417223,188.3093855,185.8338101,184.2125129,192.4763373,188.6763732,198.0142079,200.253872,199.6027513
3,1/4/2018,209.9900055,187.6544174,185.4016149,187.3777004,186.7261388,189.1203363,186.1528534,184.3837954,193.8954801,188.8985183,199.0746326,201.0379991,199.924182,204.9499332
4,1/5/2018,209.9900055,188.1937761,186.5612322,187.6572343,187.3831267,189.5116484,187.1873071,185.1166102,193.7255092,189.398516,198.8471111,201.1647338,200.62392,205.2693359
5,1/6/2018,209.9900055,188.2422498,186.0775153,187.8770269,187.1757877,189.2549648,186.4447666,184.8130973,194.133479,189.5226025,199.79518,201.8571008,200.8494038,205.7326321
6,1/7/2018,212.0500031,186.5846977,187.9097577,187.6445975,189.5289196,187.2722643,185.4400041,193.2123916,189.9164853,198.9212982,201.5432712,201.2658292,205.687051,207.3770285
7,1/8/2018,209.3099976,188.1259831,188.0005109,189.83663,187.7513686,185.8344911,193.1802313,190.2447095,198.901168,201.6994569,201.6453105,205.9438311,207.7283848,205.4919728
8,1/9/2018,212.5200043,187.0449675,189.0136157,186.4655874,184.7358053,193.4721402,189.3582186,199.170431,201.4554177,200.7499518,205.440107,206.9629758,204.3499614,209.2203281
9,1/10/2018,217.2400055,189.9218359,187.4432794,185.6165254,193.9635142,190.306347,199.8749549,202.4671196,202.014929,206.6876108,208.3698459,205.7309795,210.5322925,212.7353421
10,1/11/2018,221.2299957,187.4970467,185.7398862,196.3681628,190.8174106,202.1789858,204.2316108,202.8203086,208.4307866,209.9411048,206.1532055,212.919946,214.6516218,219.6576119
11,1/12/2018,221.2299957,188.1482586,186.4744712,194.4082631,191.3399693,200.7377593,203.5296533,203.2051776,207.8073362,209.5133348,206.6922396,211.303617,213.9895244,218.3332128
12,1/13/2018,221.2299957,187.7148039,186.253889,193.5814674,191.1856337,200.2973407,203.1625884,203.0254831,207.2807385,208.8961505,206.4503007,210.1129973,213.5034355,217.5077443
13,1/14/2018,221.2299957,188.0868257,186.6651538,193.7814874,191.658207,200.5812221,203.5931053,203.4921556,207.8331347,209.5244357,206.6457909,210.7005076,214.0722683,217.9564183
14,1/15/2018,221.5299988,186.4625827,194.3266204,191.3038065,200.6225423,203.4036693,203.0758707,207.6580907,209.3551345,206.4929729,211.1252929,213.7957403,218.087516,217.8144768
15,1/16/2018,217.5,195.4101974,192.2896084,201.7746732,204.6643028,204.3299758,209.0958944,210.8856238,207.7888185,212.8072678,215.3630273,219.7982427,219.0908731,214.5647888
16,1/17/2018,220.3300018,192.7751457,201.1861601,204.6861994,205.2045266,209.205061,211.120214,209.0433062,211.9830799,215.7153059,219.7459998,220.7305055,216.4249244,218.6018959
17,1/18/2018,220.4600067,201.5882146,204.8315775,205.1480885,209.4080528,211.3650592,209.5682353,213.027197,215.8277582,220.5030384,222.0379267,216.813971,218.6513015,219.2140127
18,1/19/2018,220.4600067,203.810855,206.0980804,204.8006052,210.5959623,212.3004782,208.210545,215.5138524,216.9133569,222.1077222,220.144662,214.8036191,218.2322989,217.5835527
19,1/20/2018,220.4600067,200.7204813,204.3525244,205.2121849,208.8196362,210.77107,209.2446393,211.368096,215.1982029,219.0965433,220.7902627,216.5577801,218.3286118,218.9361843
20,1/21/2018,227.5800018,204.4234482,205.3084571,209.109967,211.227244,209.4341884,212.2812025,215.3987857,219.5589359,220.3767592,216.2910651,218.2584802,218.506743,222.8264604
