,0
0,322.3999938964844
1,327.4049987792969
2,279.12998962402344
3,269.47999572753906
4,297.9100036621094
5,285.6999969482422
6,267.75
7,285.6999969482422
8,273.0399932861328
9,270.1649932861328
10,268.73500061035156
11,276.50999450683594
12,276.50999450683594
